,0
0,4102.840159999905
1,2730.7816800000146
2,-379.9934699998703
3,606.0483099997509
4,3741.049940000288
5,5760.920539999846
6,-1036.7390399998985
7,3324.850000000093
8,3753.9791199998
9,8281.050000000047
10,-698.4499999999534
11,1310.8600000001024
12,9704.699999999953
13,-3621.969999999972
14,19577.319999999832
15,-62.859999999869615
16,-776.8500000000931
17,-4767.479999999981
18,-9633.550000000047
19,3611.7399999999907
20,1122.3600000001024
21,6094.559999999823
22,2904.090000000084
23,2598.0
24,-1205.0100000000093
25,-3216.429999999935
26,-6125.420000000158
27,-6278.9199999999255
28,5473.190000000177
29,-552.0000000002328
30,-8497.479999999981
31,10881.729999999981
32,-5735.269999999786
33,4107.649999999907
34,8271.34999999986
35,-1834.4499999999534
36,2195.2399999999907
37,549.7400000002235
38,17135.799999999814
39,13002.21999999974
40,18829.680000000168
41,652.9300000001676
42,-4980.060000000056
43,-1282.6100000001024
44,-4120.909999999916
45,1523.369999999879
46,3523.0400000000373
47,3540.9199999999255
48,-5027.219999999739
49,6191.909999999916
50,-8296.46999999974
51,5374.329999999609
52,3749.0300000002608
53,-2741.9500000001863
54,-1460.3700000001118
55,6467.280000000261
56,-1858.5200000000186
57,2317.5799999998417
58,3717.969999999972
59,3688.440000000177
60,-7471.229999999981
61,10395.10999999987
