,0
0,1185302.048136511
1,1202584.3006685623
2,1198129.767212155
3,1199980.0680800474
4,1197990.4630617131
5,1200569.025055926
6,1200526.1632003603
7,1196232.0183977294
8,1195894.5094424363
9,1199438.241859089
10,1198071.053256124
11,1192242.9897574526
12,1198281.8626952555
13,1205411.0402277503
14,1215986.1016878402
15,1220160.622108269
16,1224838.7267617437
17,1222272.208713835
18,1217435.3640022785
19,1212544.9166892963
20,1217659.564769222
21,1215358.1721439497
22,1220927.0524351199
23,1218300.2123768937
24,1221167.2823664625
25,1228063.1681892734
26,1236173.9991371806
27,1242156.1217082008
28,1245703.4217810994
29,1254452.666360982
30,1257493.9493965511
31,1257135.3164952137
32,1263223.212315397
33,1274395.8639659993
34,1286518.6300880334
35,1281134.696468538
36,1287694.780632117
37,1282016.645903133
38,1277112.295323623
39,1293864.6659975376
40,1295561.0686991066
41,1292645.9538035074
42,1290058.467060044
43,1284293.934117579
44,1286775.794442555
45,1285877.503338817
46,1289545.2084191882
47,1292134.9450255344
48,1290895.7534026576
49,1300145.7881048345
50,1300332.2111812779
51,1302428.2401837842
52,1303175.8159938876
53,1289024.6903092244
54,1283584.2621008053
55,1292146.8191589052
56,1289315.392990939
57,1290399.450470771
58,1302756.9392098219
59,1300647.330720356
60,1298348.8462277574
61,1294206.8665911253
62,1290715.3145784542
