,0
0,7202.820134711452
1,-4454.533456407255
2,1850.300867892336
3,-1989.6050183342304
4,2578.5619942129124
5,-42.861855565803126
6,-4294.144802630879
7,-337.5089552931022
8,3543.7324166526087
9,-1367.1886029648595
10,-5828.063498671399
11,6038.872937802924
12,7129.177532494767
13,10575.06146008987
14,4174.520420428831
15,4678.104653474642
16,-2566.518047908554
17,-4836.844711556565
18,-4890.447312982287
19,5114.648079925682
20,-2301.392625272274
21,5568.880291170208
22,-2626.8400582261384
23,2867.0699895687867
24,6895.885822810931
25,8110.830947907176
26,5982.122571020154
27,3547.3000728986226
28,8749.244579882594
29,3041.283035569126
30,-358.6329013374634
31,6087.895820183447
32,11172.65165060223
33,12122.766122034052
34,-5383.933619495481
35,6560.0841635791585
36,-5678.134728983976
37,-4904.350579509977
38,16752.37067391444
39,1696.4027015690226
40,-2915.1148955991957
41,-2587.486743463436
42,-5764.532942465041
43,2481.8603249760345
44,-898.2911037378944
45,3667.705080371117
46,2589.7366063462105
47,-1239.191622876795
48,9250.034702176927
49,186.42307644337416
50,2096.029002506286
51,747.5758101034444
52,-14151.125684663188
53,-5440.428208419122
54,8562.55705809989
55,-2831.4261679660995
56,1084.0574798318557
57,12357.488739050925
58,-2109.6084894658998
59,-2298.484492598567
60,-4141.979636632139
61,-3491.552012671018
