,0
0,1482086.0012347866
1,1482486.2967593737
2,1486140.4419105395
3,1489674.840390814
4,1484191.1438991022
5,1490715.3759752847
6,1495841.5375423273
7,1501089.002710225
8,1502287.928753691
9,1508746.2396727349
10,1495279.8468890663
11,1495848.5424560092
12,1495791.8785903936
13,1507114.8757998787
14,1513451.0900989834
15,1521357.6977573505
16,1516251.4351476952
17,1497607.986728353
18,1504717.9017876417
19,1499640.3273939565
20,1498140.692107159
21,1498140.692107159
22,1498140.692107159
23,1498140.692107159
24,1498140.692107159
25,1498140.692107159
26,1498140.692107159
27,1498140.692107159
28,1498140.692107159
29,1498140.692107159
30,1498140.692107159
31,1498140.692107159
32,1498140.692107159
33,1498140.692107159
34,1498140.692107159
35,1497248.1033619693
36,1499149.6137526014
37,1503508.0702079036
38,1503268.6736945803
39,1504993.479321401
40,1499261.7034232952
41,1498362.2444265345
42,1498362.2444265345
43,1497898.135886251
44,1499629.7014001734
45,1497812.8034692483
46,1493925.1439419137
47,1497146.242017409
48,1496325.4964087158
49,1496325.4964087158
50,1496325.4964087158
51,1496325.4964087158
52,1496731.2646531381
53,1496598.108678127
54,1498423.936926757
55,1500003.4425057615
56,1495624.0107339849
57,1494954.3794763547
58,1490759.3010206555
59,1490096.0563444817
60,1489109.401486877
61,1489109.401486877
62,1489109.401486877
