,0
0,1631068.351470019
1,1630231.757470019
2,1630085.853470019
3,1630085.853470019
4,1630085.853470019
5,1630085.853470019
6,1630085.853470019
7,1630085.853470019
8,1630085.853470019
9,1630085.853470019
10,1630085.853470019
11,1630085.853470019
12,1630085.853470019
13,1630085.853470019
14,1630085.853470019
15,1630085.853470019
16,1630085.853470019
17,1630085.853470019
18,1630085.853470019
19,1630085.853470019
20,1630085.853470019
21,1630085.853470019
22,1630085.853470019
23,1630085.853470019
24,1630085.853470019
25,1630085.853470019
26,1630085.853470019
27,1630085.853470019
28,1630710.7884700191
29,1630554.9434700191
30,1630554.9434700191
31,1630554.9434700191
32,1630554.9434700191
33,1630554.9434700191
34,1630554.9434700191
35,1630554.9434700191
36,1630554.9434700191
37,1630554.9434700191
38,1630554.9434700191
39,1630554.9434700191
40,1630554.9434700191
41,1630554.9434700191
42,1630554.9434700191
43,1630554.9434700191
44,1630554.9434700191
45,1630554.9434700191
46,1630554.9434700191
47,1630554.9434700191
48,1630554.9434700191
49,1630554.9434700191
50,1630554.9434700191
51,1630554.9434700191
52,1630554.9434700191
53,1630554.9434700191
54,1630554.9434700191
55,1630554.9434700191
56,1630554.9434700191
57,1630554.9434700191
58,1630554.9434700191
59,1630554.9434700191
60,1630554.9434700191
61,1630554.9434700191
62,1630554.9434700191
