,0
0,1000000.0
1,999732.8371797979
2,999944.1437667216
3,998294.5368788613
4,997838.157026422
5,996907.4064749893
6,995506.9107171658
7,995344.4523349452
8,991257.6425040589
9,990962.8092373207
10,991681.7355986064
11,985249.3932442286
12,989895.6960499653
13,989205.5108433896
14,990371.7270939499
15,990110.4691563444
16,993298.4060272538
17,1000447.9675665364
18,993541.8968535038
19,989142.4391421102
20,991268.5667423273
21,993363.6872390477
22,995335.5936602602
23,1002601.6978257523
24,1010284.5635152612
25,1010617.5795159602
26,996804.9387226579
27,1001523.5032508322
28,1002711.2975580883
29,999856.4926857138
30,986124.3484512765
31,987174.3943198846
32,984306.0966587395
33,981901.7083537348
34,969525.7203809078
35,988142.2375587097
36,981653.009591579
37,979528.9698359536
38,977106.031760481
39,964297.2301493442
40,960325.5123113615
41,969367.7677615846
42,958807.7282122333
43,953624.5124917468
44,947776.5724723868
45,967597.0555604253
46,971770.0618813813
47,984320.2713156595
48,988865.868201856
49,983000.308208964
50,994898.1868164232
51,1005034.5254101438
52,995095.5140594584
53,988527.8969266862
54,1023583.9413158762
55,1016929.5895138283
56,1022852.4935428293
57,1030031.0374321522
58,1019304.162759383
59,1000663.4680318022
60,1010005.2694319515
61,1022438.1711210958
62,1038513.195432303
63,1047517.8742489064
64,1042412.8113392016
65,1032550.6788432237
66,1033496.6804759454
67,1054309.4431510177
68,1059016.5442848913
69,1034789.7970799666
70,1046039.5888328042
71,1050429.6448241486
72,1052620.557937922
73,1032560.3994500294
74,1044294.5164812437
75,1039654.7733203125
76,1046206.3146526641
77,1051849.6379611862
78,1048803.116792021
79,1049280.7413788913
80,1063102.8027163337
81,1067614.501593544
82,1067183.1596452293
83,1086178.7157094162
84,1086011.1536989114
85,1093541.8968376608
86,1083281.0892280957
87,1101745.7552048087
88,1089003.0359828938
89,1089152.9461138118
90,1072408.1988721872
91,1081473.0743848437
92,1079295.041782854
93,1105055.1701820232
94,1100065.9148117956
95,1092689.3417825866
96,1084379.4986264026
97,1082262.9091502065
98,1101499.4754427585
99,1088638.5627254727
100,1100782.5454341467
101,1107233.443363122
102,1117575.37673979
103,1119681.9527322727
104,1112978.1485712777
105,1128465.8427768792
106,1126890.9570739598
107,1125212.400830216
108,1128391.9988247566
109,1121314.210957129
110,1118297.8662089654
111,1119938.7524145937
112,1104429.5821248777
113,1099224.205035681
114,1091781.02020341
115,1099189.1235352824
116,1099094.8668415654
117,1076709.6625988544
118,1083133.8719483742
119,1085483.6975103072
120,1099854.981075333
121,1101435.5243358407
122,1108957.2855344582
123,1099216.5693426465
124,1102159.022554299
125,1081108.2293399137
126,1090119.7974639162
127,1073817.9291673554
128,1072108.9363147873
129,1076045.6654278669
130,1073400.8865809818
131,1094274.3514710788
132,1097151.1712230213
133,1124950.0466984427
134,1133028.4456664259
135,1137319.0024030893
136,1152357.690447657
137,1161608.324275325
138,1161341.1655955813
139,1182552.419539283
140,1185743.9160421058
141,1184357.612916879
142,1177552.6806064416
143,1174489.5065458806
144,1186299.2732562718
145,1186389.8562630885
146,1196546.8629746467
147,1203255.5009590897
148,1203482.40671107
149,1198111.1192785723
150,1202157.9180263763
151,1195261.3239532304
152,1186778.7303202017
153,1201763.721662159
154,1203453.339177381
155,1194211.619158835
156,1170607.5767805693
157,1184230.6394038198
158,1187957.250884129
159,1196172.5931875885
160,1210327.2469897168
161,1210404.64874464
162,1215079.030256704
163,1216181.5130738462
164,1216837.7626661337
165,1216178.7522867718
166,1214430.8981363594
167,1194225.079184029
168,1190389.5195484173
169,1198713.8246329797
170,1208000.1353484597
171,1220328.5105868764
172,1228241.4577440512
173,1242404.4815165584
174,1238491.027844917
175,1242115.9652875033
176,1247828.5935307422
177,1263287.4779201257
178,1265309.288165632
179,1271695.3477327863
180,1263958.7565618118
181,1276161.8396606478
182,1264994.2351086335
183,1260325.0025339841
184,1248905.9937516677
185,1264807.1847231898
186,1262538.483928077
187,1261942.7101883045
188,1232375.0430434747
189,1230786.6231747053
190,1253761.972937923
191,1266509.7869517612
192,1273410.284488946
193,1280450.918014863
194,1289056.6085780952
195,1290969.6731969486
196,1283892.0174978047
197,1308401.4220369877
198,1307373.108360776
199,1296142.87427785
200,1310514.1502913113
201,1309524.4313397803
202,1292442.1478087832
203,1314632.3960079567
204,1296153.1616148418
205,1287510.0353568126
206,1288538.0472528809
207,1263792.805396927
208,1296409.164853652
209,1257322.9378255797
210,1267400.1278066307
211,1270281.3177361535
212,1269268.1324648906
213,1297115.8489628397
214,1293586.0057974716
215,1323313.7061953328
216,1325759.6498118334
217,1335388.530766895
218,1324000.591221102
219,1328910.9510383669
220,1344714.6731363062
221,1345691.1492091739
222,1342555.302101064
223,1325063.4169969165
224,1316450.776360356
225,1331348.2284216252
226,1328555.4675788248
227,1330689.9804228381
228,1307074.605997057
229,1320361.894715189
230,1328618.1906880704
231,1324147.8214220568
232,1309036.3557685881
233,1316574.9288834073
234,1309554.7525708925
235,1297053.3708827603
236,1308907.8298779093
237,1315003.7917685239
238,1321077.8102330803
239,1323292.190540401
240,1316278.0727872266
241,1316966.5453101506
242,1301164.0307431018
243,1305291.0861233664
244,1313116.6191542435
245,1316168.829939536
246,1316531.688645617
247,1323131.28325681
248,1325984.037646976
249,1325565.502910681
250,1327769.0549912984
251,1317003.2285159295
252,1337321.9137002127
253,1336203.3942236712
254,1335931.3308174075
255,1338787.2285594165
256,1339911.1181723105
257,1345164.4767826742
258,1339305.5764901948
259,1346535.2795103888
260,1351291.7197796619
261,1336158.771855064
262,1354030.069984494
263,1339096.0246546285
264,1309502.1432678623
265,1276381.8160743967
266,1279003.1628286236
267,1275739.7307530062
268,1276298.390097688
269,1264655.498320391
270,1255658.9504111267
271,1269865.9702845141
272,1284550.204596529
273,1283216.3412912015
274,1250230.3222948788
275,1254321.3305884777
276,1239674.255401764
277,1257354.9605118441
278,1256797.3779436327
279,1269070.452609033
280,1265009.1629319696
281,1286331.1975495813
282,1288270.1826946328
283,1295299.1015281624
284,1296111.9543008818
285,1293537.5700012203
286,1282437.6029509492
287,1294115.9775361246
288,1287799.1644734011
289,1287256.25809839
290,1296021.2898909447
291,1299192.1643423901
292,1297595.7209620494
293,1305038.1143576384
294,1320750.7784847699
295,1317830.9768751394
296,1321055.7772865621
297,1321953.8327434747
298,1326791.5103139055
299,1329833.1867355895
300,1329178.6901229897
301,1333097.7492537794
302,1337812.734587485
303,1339111.8563364893
304,1335858.381208195
305,1338486.423533293
306,1350925.8770517202
307,1342924.5953035438
308,1344213.000200394
309,1345475.06350279
310,1352251.0801393513
311,1352401.1890647726
312,1346586.9569281507
313,1355078.766605623
314,1365920.887503849
315,1363794.679053412
316,1355796.9948842924
317,1361225.1997796812
318,1368273.1153667471
319,1370864.5330377242
320,1372359.2372922353
321,1386921.3817025793
322,1390520.8272039157
323,1362466.259940455
324,1370195.6634562695
325,1372472.0295785614
326,1379782.396699547
327,1379542.2592139225
328,1389528.701577555
329,1393090.2978932618
330,1363109.203106837
331,1373294.5201014366
332,1387699.5870058164
333,1360558.3753179512
334,1382000.6704991416
335,1347593.8987065495
336,1335581.7033857794
337,1289712.987642719
338,1264186.1868179808
339,1325079.4251610157
340,1324101.3183359122
341,1345525.0886602367
342,1331144.1972342522
343,1302068.7748269446
344,1298817.909557966
345,1284295.56021727
346,1273051.2558128193
347,1228451.8955796622
348,1242493.3629618683
349,1230608.6035530467
350,1231957.7491564911
351,1224085.138955318
352,1259758.917408436
353,1243711.251896513
354,1227529.6465564563
355,1253877.8501812909
356,1256227.7749038073
357,1214795.6864996583
358,1196467.8948706032
359,1213070.5836559657
360,1205426.0168945787
361,1236423.8890385823
362,1240408.642402071
363,1239768.8921034064
364,1270503.2826545183
365,1272038.5999215404
366,1275493.5934455213
367,1280519.5538366665
368,1280708.3674774808
369,1259699.9605472025
370,1260117.8684996685
371,1240609.8175567198
