,0
0,1113223.8405494757
1,1112691.215331356
2,1107180.2551658244
3,1127597.172375708
4,1131362.34034235
5,1133130.2485169407
6,1132543.1986481103
7,1145394.6856176038
8,1141669.0868818995
9,1142980.0061551535
10,1141654.3911885235
11,1144715.5548423885
12,1138976.25232413
13,1138650.8809332463
14,1137105.0669910568
15,1142117.3441573766
16,1138161.8441475334
17,1137545.385008436
18,1138230.7904330732
19,1139054.3840178335
20,1129116.9018916315
21,1128744.6896585694
22,1126439.1373014604
23,1140618.8651792314
24,1137968.302561039
25,1137914.1075614959
26,1142047.1089105844
27,1150578.2718258514
28,1149512.3515907049
29,1154263.0663082188
30,1147040.6045304546
31,1146881.7333093185
32,1143500.7848581725
33,1144193.9812155215
34,1143210.2730909984
35,1145228.1489760147
36,1136106.5500253164
37,1130307.207380059
38,1123039.799098525
39,1132170.4551987376
40,1128071.7588907508
41,1126773.11599594
42,1129146.6507201372
43,1136376.3254750248
44,1132555.143721168
45,1135584.4945832095
46,1139858.782401759
47,1114054.0919700598
48,1124397.683323889
49,1104822.8039123928
50,1100629.2796550754
51,1109272.3200913433
52,1107163.882087082
53,1104265.094222246
54,1104549.9489101162
55,1113881.47035646
56,1124933.6672111657
57,1118557.4568032748
58,1102955.218479393
59,1110364.7399910232
60,1116817.5774668888
61,1105159.6810656637
62,1117895.2987141178
