,0
0,1097949.3867595755
1,1098030.5132491868
2,1084418.9058319677
3,1086795.0342003196
4,1084137.3016467395
5,1095540.0761884283
6,1106643.8226033237
7,1109996.3138842434
8,1110599.6810753923
9,1116394.8327507176
10,1121304.8753966936
11,1114715.6480919388
12,1109431.5603259052
13,1108182.6504972992
14,1104697.2146529693
15,1109132.5880361188
16,1113916.5968207547
17,1098494.315479265
18,1093454.564702606
19,1105060.689818959
20,1103890.17691344
21,1098842.5008408092
22,1093559.0082784866
23,1089536.5160290548
24,1092112.047235167
25,1101503.7020376227
26,1087804.3538382647
27,1085237.9092350646
28,1073493.6820574543
29,1084400.0070244523
30,1065875.8896771977
31,1065731.6776723883
32,1061482.176479337
33,1068468.039465172
34,1065163.8311360285
35,1077882.4890359615
36,1086526.5099439165
37,1084199.8324865934
38,1085616.0806745503
39,1083759.8642424273
40,1085341.0982207414
41,1094288.6542070217
42,1092862.146929023
43,1094079.335538666
44,1097141.118461711
45,1103859.612162268
46,1098626.8186981224
47,1105399.04187186
48,1102837.264131691
49,1097687.7875781988
50,1095494.8593176433
51,1101077.2260015795
52,1094161.7483588813
53,1099766.8448478815
54,1102815.6076160024
55,1104742.6257624696
56,1117961.4050253986
57,1080916.8393822548
58,1060781.7583155986
59,1075689.2916258357
60,1098342.931845815
61,1106229.372120845
62,1113223.8405494757
