,0
0,-48.158758227713406
1,-2366.6434232809115
2,-4961.398464631406
3,-3041.20189444453
4,-992.5939138429239
5,2085.2807575259358
6,-11398.567324913107
7,8650.908943083603
8,-15995.499063737225
9,-3252.631786209531
10,-12922.105598321417
11,8655.601731634932
12,18766.116742069484
13,-19522.28538795479
14,13231.44678195403
15,-13247.45892587537
16,4727.523358039791
17,22471.895100869355
18,911.475294153206
19,-2744.7366200025426
20,14678.216678297147
21,4755.590761876083
22,-15032.227064621518
23,-15431.682507425081
24,5839.707993587712
25,-2998.95600603777
26,-11741.001233232208
27,20956.803269649856
28,13766.230705607566
29,18427.911463954835
30,-8722.815882142633
31,-1818.4911976396106
32,14458.889655787149
33,-10962.374447765644
34,4675.283059685258
35,11793.804961251444
36,31.87106753338594
37,-7426.5734784621745
38,21731.47670310503
39,-145.89536866743583
40,4691.302415809478
41,3201.8255610300694
42,5471.128203343367
43,-12045.817691973876
44,4431.457485653926
45,-2553.613393941894
46,18428.067406319315
47,-1617.5933681630995
48,-320.88566733244807
49,7836.9708095968235
50,12670.169887978118
51,2621.78653845028
52,-57.69184395018965
53,-1683.019687104039
54,-6743.098568733549
55,4381.795083676232
56,2059.739596291445
57,3464.602392540546
58,6071.095768756466
59,-5526.071351257153
60,8524.860924473964
61,-1200.3604241185822
