,0
0,-3274.2928345536347
1,2128.8791642379947
2,5735.481156912632
3,-6846.639397175284
4,-1088.7101227631792
5,-15593.982669131598
6,3581.0342813171446
7,-4506.058219134342
8,886.4153568774927
9,-5639.0122013622895
10,11370.054389483994
11,414.55133267701603
12,11413.01745081367
13,1969.4553820302244
14,7534.4409864866175
15,-17070.817928070668
16,-1681.267731658183
17,-2728.211562679382
18,1459.2873458184768
19,-2596.884923062753
20,-11104.82577980333
21,-2583.340930719627
22,-4217.076581711881
23,720.7053189885337
24,23146.64450698509
25,2270.3873396818526
26,15951.024900309741
27,12338.099812739529
28,2847.2359192008153
29,1051.1910159497056
30,-6268.76962468354
31,-150.5038592228666
32,12851.769406350795
33,-6293.524660385912
34,4455.032040523365
35,10543.867844294757
36,2060.186804711586
37,3041.453088552691
38,-5551.948816600721
39,-1826.8578762747347
40,-1030.390117916977
41,6511.93937379471
42,-206.44041371974163
43,4341.787812520517
44,-6212.609050826402
45,23319.828320512315
46,-1397.7955406073015
47,9810.48905254528
48,2849.9479780865368
49,10109.366459862096
50,-8305.371747385245
51,2791.5652073160745
52,-1548.3935644158628
53,-1118.8425050077494
54,10282.102158193244
55,-782.2561081345193
56,-4235.976913672173
57,84.7002216305118
58,-1499.997357715154
59,-5702.571817016462
60,155.99168590502813
61,-5351.699933626922
