,0
0,322.8192580258474
1,5526.300160816172
2,2331.4030402039643
3,6234.533531953115
4,475.84832343272865
5,-3719.2166567659006
6,8850.673282670323
7,13390.699572313344
8,14133.944650752936
9,21334.7615591269
10,-21141.9906141283
11,9894.921998562757
12,-2020.2553118749056
13,14863.538151815068
14,-5718.280618061777
15,6735.433132313192
16,31876.462514251703
17,-10697.335727572907
18,1146.1862436241936
19,9796.64624362439
20,15631.041896189796
21,120.03310531028546
22,-14854.423144314205
23,-6472.388133813627
24,-3138.5156195617747
25,24497.2250255025
26,4809.618745874381
27,-4531.6700090006925
28,30115.076279627625
29,1915.0156315634958
30,7154.109405940631
31,-10008.423768376932
32,11649.655619562138
33,4906.718145814491
34,-1620.2575037505012
35,-4681.097521752119
36,-6967.109402940143
37,8602.99062706274
38,-13672.57935793628
39,-753.4068856881931
40,-6537.111860186094
41,-10568.820624062326
42,364.16000300017186
43,5115.768766876776
44,-13163.881875187391
45,11709.741881188005
46,-2312.6831413141917
47,9021.866879687877
48,1586.996873687487
49,-3190.7243774377275
50,-8766.973126312718
51,11164.180642064428
52,-29672.93503750395
53,51.99811281147413
54,7304.203123312211
55,503.0924902490806
56,5854.361251124879
57,13027.49063606374
58,20590.71814581449
59,-36333.40221122117
60,-1622.78398255934
61,0.0
