,0
0,1000000.0
1,999951.8412417723
2,997585.1978184914
3,992623.79935386
4,989582.5974594154
5,988590.0035455725
6,990675.2843030985
7,979276.7169781853
8,987927.625921269
9,971932.1268575317
10,968679.4950713222
11,955757.3894730008
12,964412.9912046357
13,983179.1079467052
14,963656.8225587504
15,976888.2693407044
16,963640.8104148291
17,968368.3337728688
18,990840.2288737382
19,991751.7041678914
20,989006.9675478889
21,1003685.184226186
22,1008440.7749880621
23,993408.5479234406
24,977976.8654160155
25,983816.5734096032
26,980817.6174035654
27,969076.6161703332
28,990033.4194399831
29,1003799.6501455907
30,1022227.5616095455
31,1013504.7457274029
32,1011686.2545297632
33,1026145.1441855504
34,1015182.7697377848
35,1019858.05279747
36,1031651.8577587215
37,1031683.7288262548
38,1024257.1553477927
39,1045988.6320508977
40,1045842.7366822303
41,1050534.0390980397
42,1053735.8646590698
43,1059206.9928624132
44,1047161.1751704393
45,1051592.6326560932
46,1049039.0192621513
47,1067467.0866684706
48,1065849.4933003075
49,1065528.607632975
50,1073365.578442572
51,1086035.74833055
52,1088657.5348690003
53,1088599.8430250501
54,1086916.823337946
55,1080173.7247692125
56,1084555.5198528888
57,1086615.2594491802
58,1090079.8618417208
59,1096150.9576104772
60,1090624.88625922
61,1099149.747183694
62,1097949.3867595755
