,0
0,1614485.413728949
1,1614153.181560292
2,1614031.510785692
3,1614031.510785692
4,1614031.510785692
5,1614031.510785692
6,1614031.510785692
7,1614031.510785692
8,1614031.510785692
9,1614031.510785692
10,1614031.510785692
11,1614031.510785692
12,1614031.510785692
13,1614031.510785692
14,1614031.510785692
15,1614031.510785692
16,1614031.510785692
17,1614031.510785692
18,1614031.510785692
19,1614031.510785692
20,1614031.510785692
21,1614031.510785692
22,1614031.510785692
23,1614031.510785692
24,1614031.510785692
25,1614031.510785692
26,1614031.510785692
27,1614031.510785692
28,1614031.510785692
29,1614031.510785692
30,1614031.510785692
31,1614031.510785692
32,1614031.510785692
33,1614031.510785692
34,1614031.510785692
35,1614031.510785692
36,1614031.510785692
37,1613851.773516592
38,1613589.9993480751
39,1613363.3489712805
40,1613363.3489712805
41,1613363.3489712805
42,1617306.9261645724
43,1617131.0852562787
44,1617131.0852562787
45,1617131.0852562787
46,1617131.0852562787
47,1617131.0852562787
48,1617131.0852562787
49,1617131.0852562787
50,1617131.0852562787
51,1617131.0852562787
52,1617131.0852562787
53,1617131.0852562787
54,1617131.0852562787
55,1617131.0852562787
56,1617131.0852562787
57,1617131.0852562787
58,1617131.0852562787
59,1617131.0852562787
60,1617131.0852562787
61,1617131.0852562787
62,1617131.0852562787
