,0
0,1117895.2987141178
1,1110414.8929756857
2,1112543.7721399236
3,1118279.2532968363
4,1111432.613899661
5,1110343.9037768978
6,1094749.9211077662
7,1098330.9553890834
8,1093824.897169949
9,1094711.3125268265
10,1089072.3003254642
11,1100442.3547149482
12,1100856.9060476252
13,1112269.923498439
14,1114239.3788804691
15,1121773.8198669557
16,1104703.001938885
17,1103021.734207227
18,1100293.5226445475
19,1101752.809990366
20,1099155.9250673032
21,1088051.0992875
22,1085467.7583567803
23,1081250.6817750684
24,1081971.387094057
25,1105118.031601042
26,1107388.4189407239
27,1123339.4438410336
28,1135677.5436537731
29,1138524.779572974
30,1139575.9705889237
31,1133307.2009642401
32,1133156.6971050173
33,1146008.466511368
34,1139714.9418509821
35,1144169.9738915055
36,1154713.8417358003
37,1156774.0285405118
38,1159815.4816290645
39,1154263.5328124638
40,1152436.674936189
41,1151406.284818272
42,1157918.2241920668
43,1157711.783778347
44,1162053.5715908676
45,1155840.9625400412
46,1179160.7908605535
47,1177762.9953199462
48,1187573.4843724915
49,1190423.432350578
50,1200532.79881044
51,1192227.4270630549
52,1195018.992270371
53,1193470.598705955
54,1192351.7562009473
55,1202633.8583591406
56,1201851.602251006
57,1197615.625337334
58,1197700.3255589644
59,1196200.3282012492
60,1190497.7563842328
61,1190653.7480701378
62,1185302.048136511
