,0
0,1500718.8111614399
1,1501041.6304194657
2,1506567.930580282
3,1508899.3336204858
4,1515133.867152439
5,1515609.7154758717
6,1511890.4988191058
7,1520741.172101776
8,1534131.8716740895
9,1548265.8163248424
10,1569600.5778839693
11,1548458.587269841
12,1558353.5092684038
13,1556333.2539565288
14,1571196.792108344
15,1565478.5114902821
16,1572213.9446225953
17,1604090.407136847
18,1593393.0714092741
19,1594539.2576528983
20,1604335.9038965227
21,1619966.9457927125
22,1620086.9788980228
23,1605232.5557537086
24,1598760.167619895
25,1595621.6520003332
26,1620118.8770258357
27,1624928.49577171
28,1620396.8257627094
29,1650511.902042337
30,1652426.9176739005
31,1659581.0270798411
32,1649572.6033114642
33,1661222.2589310263
34,1666128.9770768408
35,1664508.7195730903
36,1659827.6220513382
37,1652860.512648398
38,1661463.5032754608
39,1647790.9239175245
40,1647037.5170318363
41,1640500.4051716502
42,1629931.584547588
43,1630295.744550588
44,1635411.5133174649
45,1622247.6314422775
46,1633957.3733234655
47,1631644.6901821513
48,1640666.5570618392
49,1642253.5539355266
50,1639062.829558089
51,1630295.8564317762
52,1641460.0370738406
53,1611787.1020363367
54,1611839.1001491481
55,1619143.3032724604
56,1619646.3957627094
57,1625500.7570138343
58,1638528.247649898
59,1659118.9657957125
60,1622785.5635844914
61,1621162.779601932
62,1621162.779601932
