,0
0,1340884.0999270517
1,1349934.5300870517
2,1352665.3117670517
3,1352285.3182970518
4,1352891.3666070516
5,1356632.4165470519
6,1362393.3370870517
7,1361356.5980470518
8,1364681.448047052
9,1368435.4271670517
10,1376716.4771670518
11,1376018.0271670518
12,1377328.887167052
13,1387033.5871670519
14,1383411.6171670519
15,1402988.9371670517
16,1402926.0771670518
17,1402149.2271670518
18,1397381.7471670518
19,1387748.1971670517
20,1391359.9371670517
21,1392482.2971670518
22,1398576.8571670516
23,1401480.9471670517
24,1404078.9471670517
25,1402873.9371670517
26,1399657.5071670518
27,1393532.0871670516
28,1387253.1671670517
29,1392726.3571670519
30,1392174.3571670516
31,1383676.8771670517
32,1394558.6071670516
33,1388823.3371670519
34,1392930.9871670518
35,1401202.3371670516
36,1399367.8871670517
37,1401563.1271670517
38,1402112.8671670519
39,1419248.6671670517
40,1432250.8871670514
41,1451080.5671670516
42,1451733.4971670518
43,1446753.4371670517
44,1445470.8271670516
45,1441349.9171670517
46,1442873.2871670516
47,1446396.3271670516
48,1449937.2471670515
49,1444910.0271670518
50,1451101.9371670517
51,1442805.467167052
52,1448179.7971670516
53,1451928.8271670518
54,1449186.8771670517
55,1447726.5071670515
56,1454193.7871670518
57,1452335.2671670518
58,1454652.8471670516
59,1458370.8171670516
60,1462059.2571670518
61,1454588.0271670518
62,1464983.1371670517
