,0
0,1489109.401486877
1,1487765.165447134
2,1487598.191866837
3,1487598.191866837
4,1487598.191866837
5,1487598.191866837
6,1487598.191866837
7,1489278.9572855907
8,1487661.6535024047
9,1495224.079701865
10,1495349.0415439932
11,1494997.158925226
12,1494997.158925226
13,1494997.158925226
14,1494997.158925226
15,1494997.158925226
16,1494997.158925226
17,1494997.158925226
18,1494997.158925226
19,1494997.158925226
20,1494997.158925226
21,1494997.158925226
22,1494997.158925226
23,1494997.158925226
24,1494997.158925226
25,1494997.158925226
26,1494997.158925226
27,1494997.158925226
28,1494997.158925226
29,1494997.158925226
30,1494997.158925226
31,1494997.158925226
32,1494997.158925226
33,1494997.158925226
34,1494997.158925226
35,1494997.158925226
36,1494997.158925226
37,1494997.158925226
38,1494997.158925226
39,1494997.158925226
40,1494997.158925226
41,1494997.158925226
42,1494997.158925226
43,1494997.158925226
44,1494997.158925226
45,1494997.158925226
46,1494997.158925226
47,1494997.158925226
48,1494997.158925226
49,1494997.158925226
50,1494997.158925226
51,1494997.158925226
52,1494997.158925226
53,1494997.158925226
54,1494997.158925226
55,1494997.158925226
56,1494997.158925226
57,1500843.0475210776
58,1500718.8111614399
59,1500718.8111614399
60,1500718.8111614399
61,1500718.8111614399
62,1500718.8111614399
