,0
0,1464983.1371670517
1,1479481.8481089822
2,1486384.8905927916
3,1484898.5059789296
4,1484898.5059789296
5,1484898.5059789296
6,1484898.5059789296
7,1484898.5059789296
8,1484898.5059789296
9,1484898.5059789296
10,1484898.5059789296
11,1484898.5059789296
12,1484898.5059789296
13,1484898.5059789296
14,1484898.5059789296
15,1484898.5059789296
16,1484898.5059789296
17,1484898.5059789296
18,1484898.5059789296
19,1484898.5059789296
20,1484898.5059789296
21,1484898.5059789296
22,1484898.5059789296
23,1484898.5059789296
24,1484898.5059789296
25,1484898.5059789296
26,1484898.5059789296
27,1484898.5059789296
28,1484898.5059789296
29,1484898.5059789296
30,1484898.5059789296
31,1484898.5059789296
32,1484898.5059789296
33,1484898.5059789296
34,1484898.5059789296
35,1484898.5059789296
36,1484898.5059789296
37,1484898.5059789296
38,1484898.5059789296
39,1484898.5059789296
40,1484898.5059789296
41,1484898.5059789296
42,1484898.5059789296
43,1484898.5059789296
44,1484898.5059789296
45,1484898.5059789296
46,1484898.5059789296
47,1484898.5059789296
48,1484898.5059789296
49,1484898.5059789296
50,1484898.5059789296
51,1483753.1410170703
52,1485191.772572967
53,1485077.3399843508
54,1467508.059750225
55,1458306.5367281435
56,1476473.4189085362
57,1461308.9579483902
58,1460933.61320495
59,1475195.8186539528
60,1448466.8085462786
61,1470901.3952310605
62,1479181.3369881078
