,0
0,9584.63000524207
1,-13611.607417219086
2,2376.1283683518413
3,-2657.7325535800774
4,11402.77454168885
5,11103.746414895402
6,3352.4912809196394
7,603.3671911489218
8,5795.151675325353
9,4910.042645975947
10,-6589.227304754779
11,-5284.087766033597
12,-1248.9098286060616
13,-3485.4358443298843
14,4435.373383149505
15,4784.008784635924
16,-15422.281341489637
17,-5039.750776658999
18,11606.125116352923
19,-1170.51290551899
20,-5047.676072630798
21,-5283.4925623226445
22,-4022.492249431787
23,2575.531206112122
24,9391.6548024558
25,-13699.348199357977
26,-2566.4446032000706
27,-11744.227177610388
28,10906.324966998072
29,-18524.11734725465
30,-144.21200480940752
31,-4249.501193051226
32,6985.862985834945
33,-3304.2083291434683
34,12718.657899932936
35,8644.020907955011
36,-2326.677457323065
37,1416.2481879568659
38,-1856.2164321229793
39,1581.2339783140924
40,8947.55598628032
41,-1426.5072779986076
42,1217.188609642908
43,3061.7829230451025
44,6718.493700556923
45,-5232.793464145623
46,6772.223173737526
47,-2561.777740168851
48,-5149.476553492248
49,-2192.928260555491
50,5582.366683936212
51,-6915.4776426982135
52,5605.096489000134
53,3048.7627681209706
54,1927.0181464671623
55,13218.77926292899
56,-37044.56564314384
57,-20135.08106665616
58,14907.533310237108
59,22653.64021997922
60,7886.440275029978
61,6994.4684286308475
