,0
0,1621162.779601932
1,1619510.234989255
2,1619303.6216103798
3,1619303.6216103798
4,1619303.6216103798
5,1619303.6216103798
6,1619303.6216103798
7,1619303.6216103798
8,1619303.6216103798
9,1619303.6216103798
10,1619303.6216103798
11,1619303.6216103798
12,1619303.6216103798
13,1619303.6216103798
14,1619303.6216103798
15,1619303.6216103798
16,1619303.6216103798
17,1619303.6216103798
18,1619303.6216103798
19,1619303.6216103798
20,1619303.6216103798
21,1619303.6216103798
22,1619303.6216103798
23,1619303.6216103798
24,1619303.6216103798
25,1619303.6216103798
26,1619303.6216103798
27,1619303.6216103798
28,1619303.6216103798
29,1619303.6216103798
30,1619303.6216103798
31,1619303.6216103798
32,1619303.6216103798
33,1619303.6216103798
34,1619303.6216103798
35,1619303.6216103798
36,1619303.6216103798
37,1619303.6216103798
38,1619303.6216103798
39,1619303.6216103798
40,1619303.6216103798
41,1619303.6216103798
42,1619303.6216103798
43,1619303.6216103798
44,1619303.6216103798
45,1619303.6216103798
46,1619303.6216103798
47,1619303.6216103798
48,1619303.6216103798
49,1619303.6216103798
50,1619303.6216103798
51,1619303.6216103798
52,1619303.6216103798
53,1619303.6216103798
54,1619303.6216103798
55,1619303.6216103798
56,1619303.6216103798
57,1618611.880905132
58,1619248.4877574444
59,1619697.0517046
60,1621333.1350826733
61,1627580.472151361
62,1627176.407467522
