,0
0,474.2428510519676
1,1920.2018841402605
2,-2066.4107175692916
3,3347.720516838366
4,-5862.702388549922
5,-6442.609537338372
6,-8652.144174948568
7,11772.805866150418
8,-2676.21332957712
9,-3523.609559189761
10,11234.071123435162
11,2026.1062865296844
12,11529.46146539785
13,17957.81545960228
14,273.77109821815975
15,3352.903849555878
16,-3045.7106364297215
17,-4624.452180159744
18,-1318.7161459645722
19,-622.0568121764809
20,-100.21611372684129
21,1729.1475834122393
22,-696.4958414558787
23,-318.49180902098306
24,0.0
25,0.0
26,87.50880260253325
27,-154.70637366524898
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,-31.692315621301532
34,406.7895547815133
35,-146.05475149233826
36,-111.20687116729096
37,-695.4196301889606
38,-656.3824755128007
39,2413.0805017794482
40,690.1318475098815
41,-669.9818310239352
42,-1118.6955599198118
43,1618.8510249189567
44,-940.2059019182343
45,1283.798313307343
46,-3496.5178089279216
47,4897.424305965425
48,2821.710835613776
49,-1735.4339029751718
50,1531.3015941900667
51,5704.371381080011
52,-1595.802459203871
53,-2067.6130302769598
54,960.3051701504737
55,-3478.3884014389478
56,732.433356183581
57,-3572.6374442740344
58,6380.026730750687
59,-7931.716183812125
60,2226.526530594332
61,8404.795874707866
