,0
0,-36163.513210633304
1,-1003.1068283715285
2,32016.41778424848
3,-17581.131158143515
4,26148.3243619462
5,-14798.413207062287
6,13415.971875812393
7,11427.540495103458
8,-8141.176934699994
9,-6170.9793384769
10,-1498.0221761863213
11,-0.21999999997206032
12,1.6699999999254942
13,1.380000000121072
14,-2.959999999962747
15,0.5999999998603016
16,-9.139999999897555
17,4.0
18,2.7600000000093132
19,0.5999999998603016
20,-4.949999999953434
21,0.030000000027939677
22,0.22999999998137355
23,0.5300000000279397
24,-0.8300000000745058
25,-0.31999999983236194
26,0.6699999999254942
27,1.659999999916181
28,471.1884061268065
29,-112.03604136686772
30,-73.14229763997719
31,2589.568650086876
32,-1942.4562888052315
33,1083.765011157142
34,-2545.9713407650124
35,-3923.925349297002
36,-12158.128236223944
37,10517.223816563142
38,-9736.11473977915
39,8466.992474847008
40,9850.51278734859
41,-1300.9257112359628
42,18635.640901169274
43,6911.104366327636
44,2367.0129951538984
45,443.75120534258895
46,1108.0188354470301
47,-5080.386596663622
48,-3257.180681724334
49,-2791.6560195831116
50,-6104.611887330888
51,-4429.772764849244
52,-3798.6752338942606
53,-7816.196240725229
54,4363.6033668085
55,-17989.20442726696
56,1162.4238529391587
57,-7981.3396754960995
58,11560.568652372342
59,-2077.7618633534294
60,-1483.5651993262582
61,0.0
