,0
0,1630554.9434700191
1,1629468.291284806
2,1631488.7739473996
3,1631216.9840799186
4,1630072.6146880926
5,1629908.0872294428
6,1629908.0872294428
7,1629908.0872294428
8,1629908.0872294428
9,1629908.0872294428
10,1629908.0872294428
11,1629908.0872294428
12,1629908.0872294428
13,1629908.0872294428
14,1629908.0872294428
15,1629908.0872294428
16,1629908.0872294428
17,1629908.0872294428
18,1629908.0872294428
19,1629908.0872294428
20,1629908.0872294428
21,1629908.0872294428
22,1629908.0872294428
23,1629908.0872294428
24,1629908.0872294428
25,1629908.0872294428
26,1629908.0872294428
27,1629908.0872294428
28,1629908.0872294428
29,1629908.0872294428
30,1629908.0872294428
31,1629908.0872294428
32,1629908.0872294428
33,1625817.9411785735
34,1617695.3178963838
35,1617451.4625654323
36,1617451.4625654323
37,1614634.487510029
38,1614485.413728949
39,1614485.413728949
40,1614485.413728949
41,1614485.413728949
42,1614485.413728949
43,1614485.413728949
44,1614485.413728949
45,1614485.413728949
46,1614485.413728949
47,1614485.413728949
48,1614485.413728949
49,1614485.413728949
50,1614485.413728949
51,1614485.413728949
52,1614485.413728949
53,1614485.413728949
54,1614485.413728949
55,1614485.413728949
56,1614485.413728949
57,1614485.413728949
58,1614485.413728949
59,1614485.413728949
60,1614485.413728949
61,1614485.413728949
62,1614485.413728949
