,0
0,1627176.407467522
1,1622923.3875447782
2,1627420.5573419423
3,1644221.791701654
4,1642646.5774700197
5,1642646.5774700197
6,1642646.5774700197
7,1642646.5774700197
8,1642335.2724700198
9,1641876.0534700195
10,1641701.9514700193
11,1646036.8324700193
12,1639385.5734700193
13,1638260.7034700194
14,1638260.7034700194
15,1638260.7034700194
16,1638260.7034700194
17,1638260.7034700194
18,1635595.570470019
19,1635375.8804700188
20,1628842.6764700187
21,1634205.786470019
22,1631713.1084700192
23,1631068.351470019
24,1631068.351470019
25,1631068.351470019
26,1631068.351470019
27,1631068.351470019
28,1631068.351470019
29,1631068.351470019
30,1631068.351470019
31,1631068.351470019
32,1631068.351470019
33,1631068.351470019
34,1631068.351470019
35,1631068.351470019
36,1631068.351470019
37,1631068.351470019
38,1631068.351470019
39,1631068.351470019
40,1631068.351470019
41,1631068.351470019
42,1631068.351470019
43,1631068.351470019
44,1631068.351470019
45,1631068.351470019
46,1631068.351470019
47,1631068.351470019
48,1631068.351470019
49,1631068.351470019
50,1631068.351470019
51,1631068.351470019
52,1631068.351470019
53,1631068.351470019
54,1631068.351470019
55,1631068.351470019
56,1631068.351470019
57,1631068.351470019
58,1631068.351470019
59,1631068.351470019
60,1631068.351470019
61,1631068.351470019
62,1631068.351470019
