,0
0,1479181.3369881078
1,1463346.5416342532
2,1462343.4348058817
3,1494359.8525901302
4,1476778.7214319867
5,1502927.0457939329
6,1488128.6325868706
7,1501544.604462683
8,1512972.1449577864
9,1504830.9680230864
10,1498659.9886846095
11,1497161.9665084232
12,1497161.7465084232
13,1497163.4165084232
14,1497164.7965084233
15,1497161.8365084233
16,1497162.4365084232
17,1497153.2965084233
18,1497157.2965084233
19,1497160.0565084233
20,1497160.6565084232
21,1497155.7065084232
22,1497155.7365084232
23,1497155.9665084232
24,1497156.4965084232
25,1497155.6665084232
26,1497155.3465084233
27,1497156.0165084233
28,1497157.6765084232
29,1497628.86491455
30,1497516.828873183
31,1497443.6865755431
32,1500033.25522563
33,1498090.7989368248
34,1499174.563947982
35,1496628.592607217
36,1492704.66725792
37,1480546.539021696
38,1491063.762838259
39,1481327.64809848
40,1489794.640573327
41,1499645.1533606756
42,1498344.2276494396
43,1516979.8685506089
44,1523890.9729169365
45,1526257.9859120904
46,1526701.737117433
47,1527809.75595288
48,1522729.3693562164
49,1519472.188674492
50,1516680.532654909
51,1510575.920767578
52,1506146.1480027288
53,1502347.4727688346
54,1494531.2765281093
55,1498894.8798949178
56,1480905.6754676509
57,1482068.09932059
58,1474086.759645094
59,1485647.3282974663
60,1483569.5664341128
61,1482086.0012347866
62,1482086.0012347866
