,0
0,1290715.3145784542
1,1292207.5772405965
2,1294127.7791247368
3,1292061.3684071675
4,1295409.0889240059
5,1289546.386535456
6,1283103.7769981176
7,1274451.632823169
8,1286224.4386893194
9,1283548.2253597423
10,1280024.6158005525
11,1291258.6869239877
12,1293284.7932105174
13,1304814.2546759152
14,1322772.0701355175
15,1323045.8412337357
16,1326398.7450832915
17,1323353.0344468618
18,1318728.582266702
19,1317409.8661207375
20,1316787.809308561
21,1316687.5931948342
22,1318416.7407782464
23,1317720.2449367906
24,1317401.7531277696
25,1317401.7531277696
26,1317401.7531277696
27,1317489.261930372
28,1317334.5555567069
29,1317334.5555567069
30,1317334.5555567069
31,1317334.5555567069
32,1317334.5555567069
33,1317334.5555567069
34,1317302.8632410855
35,1317709.652795867
36,1317563.5980443747
37,1317452.3911732074
38,1316756.9715430185
39,1316100.5890675057
40,1318513.6695692851
41,1319203.801416795
42,1318533.819585771
43,1317415.1240258513
44,1319033.9750507702
45,1318093.769148852
46,1319377.5674621593
47,1315881.0496532314
48,1320778.4739591968
49,1323600.1847948106
50,1321864.7508918354
51,1323396.0524860255
52,1329100.4238671055
53,1327504.6214079016
54,1325437.0083776247
55,1326397.3135477751
56,1322918.9251463362
57,1323651.3585025198
58,1320078.7210582457
59,1326458.7477889964
60,1318527.0316051843
61,1320753.5581357786
62,1329158.3540104865
